,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
0,richard krajicek,R,196.0,71.0,46.0,0.36625184427573443,0.228414942519072,0.4077590640970921,0.5329748107917123,0.8463590498829018,0.5743926190895302,61.7887323943662,0.6772502771473112,224.0,60.2%,38.9%,68.8%,56.1%,10.0
1,thomas enqvist,R,190.0,78.0,50.0,0.40704500107163594,0.3031115814896502,0.43690582329919336,0.5049113991421686,0.8137970140773603,0.5663482365338981,73.93589743589743,0.6517709156081748,204.9,59.2%,42.9%,42.1%,60.7%,63.0
2,jonathan stark,R,188.0,27.0,12.0,0.3603528456147135,0.21540261215950332,0.4693841138285582,0.5958972206048229,0.8111888670463551,0.6218348020423976,44.888888888888886,0.6594570307787218,184.3,61.0%,42.1%,40.0%,41.2%,85.0
3,todd woodbridge,R,178.0,58.0,35.0,0.3978836263960962,0.27244639894167494,0.4189307340169409,0.556584189122622,0.7426000456046095,0.571803148250005,81.87931034482759,0.6026871435525848,223.3,59.4%,42.0%,63.6%,58.3%,54.0
4,david wheaton,R,193.0,19.0,7.0,0.3681532853122447,0.22331708810444345,0.37658635224424697,0.46595246858404754,0.7418204249718019,0.5791007418551419,69.78947368421052,0.6195076527117666,,,,,,44.0
5,alexander volkov,L,188.0,33.0,12.0,0.365592242721837,0.20867996189142435,0.42864968187934693,0.5417778028072145,0.6731817041105581,0.5132092920697046,101.6969696969697,0.574990485141742,216.5,58.2%,42.8%,70.0%,45.5%,17.0
8,bernd karbacher,R,185.0,43.0,19.0,0.3764651038215623,0.23949101514080998,0.4239342053295541,0.5920020168310184,0.7249887732340612,0.5698823083339637,80.06976744186046,0.6037003466841124,152.3,61.8%,39.0%,33.3%,18.2%,52.0
9,nicklas kulti,R,190.0,28.0,13.0,0.3666321976224742,0.20892075186718037,0.38973118568983234,0.5585736188414759,0.7924056639893106,0.5817537385106274,69.42857142857143,0.6377526045934669,203.4,61.4%,38.8%,40.0%,63.2%,79.0
10,mark woodforde,L,188.0,56.0,31.0,0.37219382580955035,0.2463520897869637,0.46504477665191946,0.6423826328777124,0.8073567765960512,0.5874138489798723,90.0,0.6369419947415055,210.5,67.6%,41.8%,57.1%,44.0%,40.0
11,derrick rostagno,R,185.0,3.0,1.0,0.33644358644358646,0.22424242424242424,0.4166666666666667,0.5928571428571429,0.7002164502164502,0.6418168964298339,67.66666666666667,0.5880798083343152,,,,,,75.0
12,magnus larsson,R,193.0,52.0,27.0,0.37575734076793055,0.24415534337986106,0.4068245856707394,0.5430315635781224,0.7831531485667889,0.619407794334748,51.67307692307692,0.6410078640506847,211.9,59.0%,41.5%,52.6%,58.8%,34.0
14,kenneth carlsen,L,190.0,39.0,17.0,0.3520360485294769,0.17952339264556458,0.3249709692017384,0.6072714155293342,0.8140494331934754,0.5792333066065665,97.3076923076923,0.6499637838353706,191.4,66.3%,34.0%,38.5%,52.6%,69.0
15,todd martin,R,198.0,71.0,50.0,0.39849268292283163,0.2818896989000873,0.4563020508443042,0.6060262507445605,0.8497920777169021,0.6105312367174852,55.61971830985915,0.6732207836097882,221.9,68.2%,42.4%,54.2%,57.1%,87.0
16,bryan shelton,R,185.0,7.0,1.0,0.272978040671976,0.08173076923076923,0.1261595547309833,0.48376623376623373,0.7316842121463969,0.616578896831343,55.142857142857146,0.6144721946579823,,,,,,100.0
17,cedric pioline,R,188.0,55.0,36.0,0.39665529631687907,0.2784443530482089,0.4357752363501027,0.6040331890331893,0.8189869711393775,0.5603623942833422,55.654545454545456,0.6504879946746809,229.0,65.0%,44.0%,53.3%,66.7%,33.0
18,sandon stolle,R,193.0,38.0,21.0,0.3808941669104198,0.23897114927239588,0.3829754310017468,0.5643371248634408,0.7835926736662031,0.5811252844539206,90.57894736842105,0.6311797465799143,203.9,58.0%,39.2%,66.7%,40.0%,71.0
19,richard fromberg,R,196.0,31.0,10.0,0.3562901369399005,0.19086406230515626,0.33883070334683235,0.4484631408018505,0.7387334439753795,0.5961098107681037,48.67741935483871,0.6204897439054188,178.2,56.5%,39.1%,46.2%,36.4%,83.0
20,magnus gustafsson,R,185.0,54.0,37.0,0.42804791143780074,0.3352848374090204,0.4584931630138603,0.5416294610739055,0.8046826252300109,0.6359172218298283,76.22222222222223,0.635845377922784,210.9,61.3%,43.6%,53.8%,52.2%,47.0
21,marcos ondruska,R,183.0,20.0,8.0,0.3886344355768444,0.25905092456563045,0.3742719644906177,0.42008966931761044,0.6307728382728383,0.5979669334785459,40.7,0.5726868035767707,197.4,54.1%,39.5%,50.0%,53.8%,67.0
22,sergi bruguera,R,188.0,45.0,24.0,0.3920333343030587,0.2784035158741041,0.41336965503632156,0.47719656886323547,0.7478102412096442,0.5400575777805917,56.733333333333334,0.6233014769140619,222.6,55.8%,38.3%,57.1%,71.4%,16.0
23,stefan edberg,R,188.0,69.0,44.0,0.4107498784589442,0.3028688815231125,0.43504574767699006,0.5477367863287907,0.8079923687660258,0.5878794230586583,68.92753623188406,0.646533329036453,196.2,61.9%,41.0%,50.0%,43.3%,2.0
