,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang
0,richard krajicek,R,196.0,65.0,47.0,0.3770265272310801,0.23699339351422657,0.4256848706848706,0.5232249801480571,0.8978287233456422,0.5785016986268509,74.6923076923077,0.7176560227094007,7.0
1,thomas enqvist,R,190.0,54.0,34.0,0.38958912196092615,0.2764581354859133,0.42616165908649556,0.47910448604893063,0.8469818932781898,0.5571239295585004,61.2962962962963,0.6757657421334059,9.0
2,jonathan stark,R,188.0,38.0,16.0,0.35508853343009433,0.1687838687799988,0.33980560836516505,0.4770403573035152,0.8102541827857538,0.580152356362991,112.6842105263158,0.653377542815662,64.0
3,todd woodbridge,R,178.0,43.0,26.0,0.41172142844544707,0.3070565446465438,0.4493936713840955,0.5562416019153367,0.7361891240734211,0.5826141340437669,76.06976744186046,0.6013466914026436,31.0
4,david wheaton,R,193.0,11.0,4.0,0.34756901844407045,0.16987192100828466,0.3525383707201889,0.6353896103896104,0.7378514162605071,0.6496154653140813,36.09090909090909,0.6008673476273453,44.0
5,alexander volkov,L,188.0,14.0,3.0,0.3596538950388646,0.20952004344861486,0.35838239141810574,0.5580106401534973,0.6542034587727865,0.4789730636904435,85.78571428571429,0.5582168360419318,17.0
8,bernd karbacher,R,185.0,10.0,3.0,0.339856985477605,0.12551530341004027,0.18292844410491468,0.4903066378066379,0.6878504974557607,0.5316073977376715,62.9,0.5912244677677997,55.0
9,nicklas kulti,R,190.0,24.0,8.0,0.3410303558644778,0.16095000451618094,0.28931878306878306,0.6176661301661301,0.754399935753836,0.5432311483768346,69.91666666666667,0.6184461653986758,70.0
10,mark woodforde,L,188.0,49.0,24.0,0.3951983445778547,0.260966760996773,0.39398639076010006,0.5786141196405302,0.7463654452790108,0.5808024449611803,71.6938775510204,0.6103992285892781,27.0
12,magnus larsson,R,193.0,58.0,37.0,0.3887918437483111,0.2520417716158081,0.42078981841912877,0.4987292640309882,0.831940360743606,0.6247742352544727,66.5,0.6641919900705225,42.0
14,kenneth carlsen,L,190.0,47.0,23.0,0.3613658299366501,0.22093773735692407,0.41823477940499215,0.60878211275583,0.8000667342774752,0.5610809165791555,110.51063829787235,0.6413826571667799,72.0
15,todd martin,R,198.0,20.0,13.0,0.3659657743150518,0.21949256217638569,0.39818833943833953,0.43157738095238096,0.8581872090327975,0.5865702880323327,70.2,0.6808142165032777,12.0
16,bryan shelton,R,185.0,6.0,1.0,0.30855259697303933,0.14166666666666666,0.2633040935672515,0.5147156084656085,0.7469576719576719,0.590629190778564,49.333333333333336,0.6045717099559821,100.0
17,cedric pioline,R,188.0,58.0,34.0,0.3918463737794017,0.2618882347082063,0.4380056923373888,0.6076883126452093,0.7963116565085318,0.6044837749214381,66.34482758620689,0.6447708611222133,22.0
18,sandon stolle,R,193.0,40.0,22.0,0.37566069600595026,0.22243973228783598,0.3529971417471417,0.558890339321841,0.7831119014284649,0.5772102495262437,76.575,0.6440313392856865,57.0
19,richard fromberg,R,196.0,43.0,19.0,0.3646989344647926,0.2081439875475741,0.38537653159249735,0.5813971304152774,0.7939112942727784,0.5929864399622609,83.76744186046511,0.6406245616556915,78.0
