,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
0,richard krajicek,R,196.0,53.0,34.0,0.36965206878383966,0.22111314651487401,0.42925140896839,0.5830243132129925,0.874361470118536,0.6012488018249359,56.83018867924528,0.6856842928936694,135.7,29.7%,48.4%,20.1%,37.5%,210.2,64.8%,37.5%,57.9%,50.0%,10.0
1,thomas enqvist,R,190.0,38.0,17.0,0.39519115358732215,0.27217539484415915,0.37868688973565134,0.5398865191170064,0.7115278727120833,0.5398499246249265,83.21052631578948,0.5942810491612279,148.0,28.8%,55.1%,25.8%,38.3%,181.4,56.7%,38.3%,50.0%,36.4%,63.0
2,jonathan stark,R,188.0,48.0,26.0,0.3792273596436307,0.23787003127236503,0.4101903815139109,0.5455022697210198,0.8264991451991931,0.5936574842685091,72.4375,0.6652547041427067,140.3,28.8%,48.7%,21.4%,41.4%,191.2,61.9%,41.4%,35.7%,52.2%,85.0
3,todd woodbridge,R,178.0,36.0,18.0,0.39638606676077515,0.2728084093844963,0.45154324841824844,0.5171915661498995,0.7296910347682661,0.5862951076534023,72.13888888888889,0.6007770674619285,155.2,33.1%,51.6%,27.4%,43.1%,205.6,55.4%,43.1%,57.1%,50.0%,54.0
4,david wheaton,R,193.0,52.0,27.0,0.38601289532157784,0.27490677815234255,0.44562509668561706,0.527910828884275,0.7636105989516027,0.5785177002248024,94.32692307692308,0.6229138507555234,151.3,28.1%,54.4%,26.0%,42.8%,211.8,58.7%,42.8%,52.4%,57.9%,44.0
5,alexander volkov,L,188.0,67.0,42.0,0.40697859940685843,0.2966551305314279,0.4526276286983619,0.6600388123267148,0.8045237713415014,0.5198685653783895,94.2089552238806,0.6378009061217462,152.5,30.1%,52.6%,26.9%,42.9%,205.5,65.2%,42.9%,42.9%,54.5%,17.0
6,jonas svensson,R,188.0,59.0,33.0,0.4113046336267568,0.3019442571386738,0.4507853963362437,0.5629903759141047,0.7749548284095955,0.6333978680296412,103.1864406779661,0.6293441260770629,158.0,33.3%,52.2%,29.0%,43.5%,191.6,61.2%,43.5%,47.8%,39.1%,81.0
7,markus naewie,R,190.0,19.0,5.0,0.3602100541202863,0.2289495935780766,0.4593509174004531,0.5345395488584342,0.6668859744964412,0.6291335426171916,87.84210526315789,0.5790176406992188,,,,,,,,,,,77.0
8,bernd karbacher,R,185.0,46.0,18.0,0.3676684842481518,0.2240942674269838,0.41404670209018035,0.5521591833780554,0.7043414197489445,0.5166390207451004,73.95652173913044,0.5931061799431592,142.3,28.0%,50.5%,22.5%,41.3%,210.4,59.5%,41.3%,47.1%,62.5%,52.0
9,nicklas kulti,R,190.0,50.0,26.0,0.37204573250083,0.218808772067286,0.3813516761016761,0.5755147630147631,0.7822243442831679,0.5599658180455358,79.18,0.6273152113326654,136.4,29.0%,49.5%,21.3%,36.6%,191.8,58.5%,36.6%,46.7%,50.0%,79.0
